Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,38555
design__instance__area,269580
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,557
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.008508870378136635
power__switching__total,0.004561611916869879
power__leakage__total,2.946488564248284e-07
power__total,0.01307077705860138
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.303753
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.388486
timing__hold__ws__corner:nom_tt_025C_1v80,0.292292
timing__setup__ws__corner:nom_tt_025C_1v80,10.58729
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.292292
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.880583
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,557
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.629046
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.682065
timing__hold__ws__corner:nom_ss_100C_1v60,0.702475
timing__setup__ws__corner:nom_ss_100C_1v60,5.078532
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.702475
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.739221
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,557
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.158775
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.269981
timing__hold__ws__corner:nom_ff_n40C_1v95,0.151241
timing__setup__ws__corner:nom_ff_n40C_1v95,11.278991
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0.0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.151241
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.309795
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,557
design__max_cap_violation__count,0
clock__skew__worst_hold,-2.141554
clock__skew__worst_setup,0.251178
timing__hold__ws,0.149908
timing__setup__ws,4.955075
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.149908
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.22592
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 757.355 768.075
design__core__bbox,5.52 10.88 751.64 756.16
design__io,108
design__die__area,581705
design__core__area,556068
design__instance__count__stdcell,38555
design__instance__area__stdcell,269580
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.484796
design__instance__utilization__stdcell,0.484796
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,557
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.673378
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.734764
timing__hold__ws__corner:max_ss_100C_1v60,0.678256
timing__setup__ws__corner:max_ss_100C_1v60,4.955075
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0.0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.705273
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,6.22592
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,875824
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,225
antenna__violating__nets,12
antenna__violating__pins,13
route__antenna_violation__count,12
route__net,20474
route__net__special,2
route__drc_errors__iter:1,28192
route__wirelength__iter:1,1152050
route__drc_errors__iter:2,12715
route__wirelength__iter:2,1143814
route__drc_errors__iter:3,11389
route__wirelength__iter:3,1139807
route__drc_errors__iter:4,1676
route__wirelength__iter:4,1138404
route__drc_errors__iter:5,135
route__wirelength__iter:5,1138141
route__drc_errors__iter:6,46
route__wirelength__iter:6,1138122
route__drc_errors__iter:7,12
route__wirelength__iter:7,1138109
route__drc_errors__iter:8,10
route__wirelength__iter:8,1138108
route__drc_errors__iter:9,2
route__wirelength__iter:9,1138113
route__drc_errors__iter:10,0
route__wirelength__iter:10,1138094
route__drc_errors,0
route__wirelength,1138094
route__vias,189510
route__vias__singlecut,189510
route__vias__multicut,0
design__disconnected_pin__count,28
design__critical_disconnected_pin__count,0
route__wirelength__max,1470.37
timing__unannotated_net__count__corner:nom_tt_025C_1v80,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,28
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,28
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
